,기간,자치구,공교육 만족도,사교육 만족도,사교육 수준 만족도,사교육 비용만족도,사교육 접근성 만족도
94,2016,동작구,5.76,5.3,5.63,4.41,5.87
95,2016,관악구,5.59,5.3,5.64,4.3,5.97
96,2016,서초구,5.45,5.07,5.39,4.04,5.77
97,2016,강남구,5.59,5.35,5.91,4.2,5.95
98,2016,송파구,5.29,5.46,6.05,4.1,6.23
99,2016,강동구,5.42,5.01,5.38,4.08,5.57
100,2017,종로구,5.83,5.41,5.87,4.71,5.64
101,2017,중구,4.99,4.55,4.31,3.79,5.55
102,2017,용산구,5.08,4.81,4.9,4.43,5.1
103,2017,성동구,5.12,4.8,5.32,3.49,5.58
104,2017,광진구,4.75,4.85,5.41,3.77,5.37
105,2017,동대문구,5.18,4.73,4.97,4.14,5.07
106,2017,중랑구,5.53,4.84,5.17,3.86,5.48
107,2017,성북구,5.25,4.88,5.27,4.01,5.36
108,2017,강북구,5.57,5.24,5.46,4.63,5.64
109,2017,도봉구,5.63,5.44,5.62,4.88,5.83
110,2017,노원구,5.7,5.41,5.63,4.31,6.29
111,2017,은평구,5.28,5.1,5.32,4.1,5.88
112,2017,서대문구,5.83,5.27,5.54,4.51,5.77
113,2017,마포구,5.53,5.23,5.54,4.37,5.78
114,2017,양천구,4.89,4.78,4.92,3.6,5.82
115,2017,강서구,4.76,4.28,4.07,3.84,4.93
116,2017,구로구,5.51,5.2,5.57,3.97,6.05
117,2017,금천구,4.78,4.7,5.01,4.04,5.06
118,2017,영등포구,5.29,5.21,5.37,4.79,5.48
119,2017,동작구,5.81,5.82,6.23,4.82,6.41
120,2017,관악구,5.71,5.25,5.64,4.44,5.67
121,2017,서초구,5.38,5.28,5.36,4.28,6.19
122,2017,강남구,5.95,6.08,6.76,4.47,7.0
123,2017,송파구,5.81,5.86,6.37,4.68,6.53
124,2017,강동구,5.65,5.19,5.63,4.14,5.8
125,2018,종로구,5.37,4.72,4.65,4.35,5.16
126,2018,중구,5.29,4.41,4.4,4.21,4.63
127,2018,용산구,5.6,5.48,5.92,4.18,6.33
128,2018,성동구,5.51,5.18,5.67,3.92,5.94
129,2018,광진구,5.25,5.33,5.83,4.28,5.89
130,2018,동대문구,5.17,4.7,5.07,4.08,4.96
131,2018,중랑구,5.14,5.14,5.53,4.19,5.7
132,2018,성북구,4.37,4.89,5.31,4.23,5.14
133,2018,강북구,6.66,4.63,4.62,4.41,4.85
134,2018,도봉구,5.11,4.95,5.23,4.27,5.36
135,2018,노원구,5.35,5.18,5.52,4.15,5.87
136,2018,은평구,5.47,5.3,5.68,4.35,5.86
137,2018,서대문구,5.56,5.11,5.29,4.09,5.95
138,2018,마포구,5.75,5.35,5.63,4.1,6.33
139,2018,양천구,5.24,5.47,5.67,4.21,6.53
140,2018,강서구,5.35,4.86,4.92,4.18,5.48
141,2018,구로구,5.43,5.21,5.65,4.1,5.87
