,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,relief_WAR
245,246.0,손문곤,1965-01-29,Binggre Eagles,1988,17.0,0.0,0.0,7.0,2.0,3.0,0.0,0.0,54.0,39.0,34.0,244.0,69.0,0.0,0.0,2.0,17.0,0.0,2.0,20.0,0.0,2.0,5.67,3.38,1.59,69.3,116.3,0.53,0.0,0.16
246,247.0,김재열,1961-04-25,Binggre Eagles,1986,25.0,1.0,0.0,8.0,2.0,8.0,1.0,0.0,89.2,49.0,34.0,393.0,91.0,0.0,0.0,5.0,39.0,0.0,8.0,24.0,0.0,4.0,3.41,3.84,1.45,92.0,81.8,0.51,0.0,0.15
247,248.0,이충우,1958-08-13,Lotte Giants,1987,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,8.0,7.0,88.0,21.0,0.0,0.0,1.0,4.0,0.0,1.0,9.0,0.0,1.0,3.05,2.95,1.21,115.9,119.7,0.5,0.0,0.15
248,249.0,윤석환,1961-07-07,OB Bears,1986,18.0,0.0,0.0,10.0,2.0,4.0,0.0,0.0,63.1,28.0,22.0,281.0,66.0,0.0,0.0,3.0,30.0,0.0,1.0,13.0,0.0,1.0,3.13,3.75,1.52,95.1,79.3,0.49,0.0,0.15
249,250.0,정성만,1955-10-10,Samsung Lions,1983,12.0,2.0,0.0,7.0,3.0,5.0,0.0,0.0,61.2,27.0,20.0,253.0,46.0,0.0,0.0,11.0,27.0,0.0,0.0,26.0,0.0,4.0,2.92,4.85,1.18,114.8,69.2,0.44,0.0,0.15
250,251.0,김용남,1958-02-26,Haitai Tigers,1986,13.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,30.2,19.0,16.0,143.0,45.0,0.0,0.0,2.0,6.0,1.0,0.0,22.0,0.0,0.0,4.7,1.98,1.66,65.0,154.3,0.43,0.0,0.15
251,252.0,송유석,1966-07-16,Haitai Tigers,1988,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,15.1,6.0,6.0,62.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,3.52,3.1,1.44,108.7,123.5,0.42,0.0,0.15
252,253.0,한용덕,1965-06-02,Binggre Eagles,1988,12.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,41.1,15.0,14.0,168.0,39.0,0.0,0.0,9.0,21.0,0.0,0.0,16.0,0.0,1.0,3.05,6.16,1.45,128.8,63.7,0.42,0.0,0.15
253,254.0,전용권,1961-04-12,Samsung Lions,1984,13.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,26.1,13.0,13.0,112.0,26.0,0.0,0.0,0.0,11.0,0.0,2.0,6.0,1.0,1.0,4.44,3.17,1.41,75.0,105.2,0.42,0.0,0.14
254,255.0,박동경,1964-03-03,Samsung Lions,1983,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,22.1,12.0,10.0,94.0,24.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,1.0,0.0,4.03,2.77,1.34,83.0,120.6,0.41,0.0,0.14
