,rank,name,birth,team,year,gp,cg,sho,gs,win,loss,save,hold,inning,runs,earned_run,batter_faced,hits,base2,base3,home_run,walk,intentional_walk,hb,so,balk,wild,ERA,FIP,WHIP,ERAplus,FIPplus,WAR,WPA,relief_WAR
307,308.0,이현택,1964-09-28,Samsung Lions,1988,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,45.0,12.0,0.0,0.0,0.0,9.0,1.0,0.0,6.0,0.0,2.0,6.0,3.91,2.33,64.3,98.6,0.08,0.0,0.05
308,309.0,이동수,1962-08-05,Pacific Dolphins,1988,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,23.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.8,4.58,1.8,212.8,83.7,0.08,0.0,0.05
309,310.0,오문현,1953-02-13,Samsung Lions,1984,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,18.0,18.0,123.0,30.0,0.0,0.0,4.0,11.0,0.0,2.0,7.0,0.0,0.0,5.59,4.8,1.41,60.1,70.0,0.08,0.0,0.05
310,311.0,황기선,1958-06-02,Haitai Tigers,1985,17.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,34.2,27.0,25.0,159.0,40.0,0.0,0.0,3.0,19.0,3.0,2.0,15.0,0.0,1.0,6.49,4.03,1.7,53.8,86.5,0.07,0.0,0.05
311,312.0,이척기,1962-05-25,Binggre Eagles,1988,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1.0,1.0,11.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,3.86,1.72,2.14,101.8,228.0,0.07,0.0,0.05
312,313.0,정선두,1959-06-06,Chungbo Pintos,1987,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,8.0,8.0,43.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,1.0,7.45,3.3,1.86,48.2,109.0,0.07,0.0,0.05
313,314.0,양일환,1961-06-10,Samsung Lions,1985,19.0,1.0,0.0,6.0,3.0,5.0,1.0,0.0,61.2,37.0,35.0,269.0,62.0,0.0,0.0,10.0,28.0,2.0,3.0,17.0,1.0,1.0,5.11,5.18,1.46,69.5,68.5,0.06,0.0,0.04
314,315.0,송진호,1957-08-16,Samsung Lions,1986,6.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.2,5.0,5.0,54.0,11.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,3.29,5.51,1.02,93.9,56.1,0.06,0.0,0.04
315,316.0,이길환,1959-07-15,MBC Blue Dragons,1986,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,5.0,5.0,44.0,13.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,4.5,2.58,1.4,65.9,115.1,0.06,0.0,0.04
316,317.0,이원국,1949-05-10,MBC Blue Dragons,1983,8.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,38.2,25.0,19.0,171.0,46.0,0.0,0.0,1.0,14.0,0.0,2.0,6.0,1.0,0.0,4.42,3.33,1.55,69.9,93.0,0.06,0.0,0.04
317,318.0,박동경,1964-03-03,Samsung Lions,1986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.0,1.0,12.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.38,2.83,1.88,91.6,109.4,0.06,0.0,0.04
318,319.0,성낙수,1957-08-12,Samsung Lions,1985,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,2.0,2.0,19.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.15,4.99,1.62,85.5,71.2,0.05,0.0,0.04
319,320.0,민문식,1961-11-26,Binggre Eagles,1987,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,3.0,2.0,26.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.18,5.29,1.77,115.3,69.2,0.05,0.0,0.04
320,321.0,김재박,1954-05-23,MBC Blue Dragons,1985,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.22,0.0,0.0,150.7,0.05,0.0,0.04
321,322.0,이선희,1955-02-14,MBC Blue Dragons,1986,7.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,17.2,12.0,10.0,78.0,25.0,0.0,0.0,2.0,3.0,0.0,1.0,12.0,0.0,0.0,5.09,2.87,1.59,58.2,103.4,0.05,0.0,0.04
322,323.0,박형열,1967-11-13,OB Bears,1986,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,1.0,1.0,10.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.38,3.2,0.75,88.0,92.9,0.05,0.0,0.04
323,324.0,강상진,1962-04-17,Haitai Tigers,1986,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.2,15.0,13.0,107.0,24.0,0.0,0.0,2.0,11.0,0.0,2.0,9.0,0.0,1.0,5.16,4.15,1.54,59.1,73.6,0.04,0.0,0.04
324,325.0,기세봉,1960-02-01,OB Bears,1986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,1.0,0.0,143.2,0.04,0.0,0.03
325,326.0,이윤섭,1958-03-01,Lotte Giants,1984,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,6.0,45.0,12.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,5.4,4.74,1.7,60.3,68.6,0.04,0.0,0.03
326,327.0,조용철,1965-08-22,Lotte Giants,1984,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,11.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.14,2.5,0.0,103.6,0.03,0.0,0.03
327,328.0,최진영,1964-03-04,Samsung Lions,1988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.0,1.0,12.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.38,2.95,2.25,114.3,130.6,0.03,0.0,0.03
328,329.0,김재열,1961-04-25,Binggre Eagles,1987,12.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,39.1,24.0,20.0,171.0,48.0,0.0,0.0,6.0,16.0,0.0,3.0,10.0,0.0,3.0,4.58,5.39,1.63,80.0,67.9,0.03,0.0,0.03
329,330.0,송유석,1966-07-16,Haitai Tigers,1987,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.2,8.0,5.0,71.0,18.0,0.0,0.0,2.0,9.0,0.0,1.0,4.0,0.0,0.0,2.87,5.53,1.72,121.4,63.1,0.03,0.0,0.03
330,331.0,강만식,1957-02-15,Binggre Eagles,1988,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.08,1.5,0.0,55.4,0.03,0.0,0.03
331,332.0,송진호,1957-08-16,Samsung Lions,1984,12.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,33.0,24.0,20.0,153.0,29.0,0.0,0.0,1.0,27.0,2.0,2.0,14.0,0.0,2.0,5.45,4.14,1.7,61.1,80.5,0.02,0.0,0.02
332,333.0,감사용,1957-03-23,OB Bears,1986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,12.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,5.74,1.0,99.1,51.8,0.02,0.0,0.02
333,334.0,이척기,1962-05-25,Samsung Lions,1987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,1.47,1.0,39.7,243.2,0.02,0.0,0.02
334,335.0,박동경,1964-03-03,Samsung Lions,1988,13.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,39.1,25.0,22.0,178.0,47.0,0.0,0.0,4.0,26.0,0.0,3.0,8.0,0.0,2.0,5.03,5.71,1.86,76.6,67.6,0.02,0.0,0.02
335,336.0,정순명,1954-06-30,MBC Blue Dragons,1983,13.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,59.2,30.0,24.0,259.0,56.0,0.0,0.0,7.0,28.0,0.0,5.0,19.0,1.0,1.0,3.62,4.61,1.41,85.4,67.1,0.01,0.0,0.02
336,337.0,김경남,1963-01-07,OB Bears,1987,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,4.0,23.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.2,4.27,1.8,47.7,80.6,0.01,0.0,0.02
337,338.0,예병준,1962-03-12,MBC Blue Dragons,1986,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,10.0,53.0,19.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,3.0,8.18,2.62,2.09,36.2,113.2,0.01,0.0,0.01
338,339.0,하창우,1969-10-24,OB Bears,1988,5.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,16.1,13.0,12.0,70.0,22.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,6.61,3.86,1.53,56.9,97.3,0.0,0.0,0.01
339,340.0,감사용,1957-03-23,Samsung Lions,1983,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,6.0,1.0,46.0,0.0,0.0,12.0,1.0,4.0,0.0,0.0,1.0,0.0,4.5,14.31,3.92,74.5,0.0,0.0,0.0,
340,341.0,최진영,1964-03-04,Samsung Lions,1987,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,10.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,4.5,5.47,2.0,79.3,65.3,-0.0,0.0,
341,342.0,이우상,1958-11-29,Chungbo Pintos,1986,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,6.0,6.0,48.0,11.0,0.0,0.0,1.0,8.0,0.0,0.0,3.0,0.0,0.0,5.79,5.4,2.04,54.5,58.4,-0.0,0.0,0.01
342,343.0,최창호,1966-11-08,Chungbo Pintos,1987,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.2,14.0,14.0,79.0,21.0,0.0,0.0,1.0,11.0,1.0,0.0,7.0,1.0,0.0,7.56,4.21,1.92,47.5,85.3,-0.0,0.0,0.01
343,344.0,김상기,1961-03-03,Chungbo Pintos,1987,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.0,2.0,10.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.71,5.04,2.14,46.5,71.3,-0.0,0.0,0.01
344,345.0,전용권,1961-04-12,Samsung Lions,1988,14.0,0.0,0.0,5.0,2.0,2.0,1.0,0.0,46.0,28.0,26.0,209.0,53.0,0.0,0.0,6.0,22.0,1.0,3.0,8.0,0.0,1.0,5.09,5.49,1.63,75.8,70.2,-0.01,0.0,0.0
345,346.0,정은배,1962-10-19,Chungbo Pintos,1986,31.0,0.0,0.0,11.0,2.0,9.0,3.0,0.0,105.1,70.0,53.0,469.0,120.0,0.0,0.0,9.0,44.0,2.0,5.0,41.0,0.0,2.0,4.53,3.75,1.56,69.6,84.1,-0.01,0.0,0.0
346,347.0,한오종,1961-06-16,OB Bears,1985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.22,6.0,0.0,17.6,-0.01,0.0,0.0
347,348.0,김현재,1956-06-04,Haitai Tigers,1983,10.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,24.1,15.0,11.0,122.0,32.0,0.0,0.0,2.0,16.0,0.0,2.0,6.0,0.0,1.0,4.07,4.85,1.97,80.0,67.1,-0.01,0.0,0.0
348,349.0,한오종,1961-06-16,OB Bears,1987,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,21.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,5.4,7.07,1.4,63.7,48.6,-0.02,0.0,-0.0
349,350.0,김연철,1958-03-20,Binggre Eagles,1988,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,6.0,5.0,31.0,11.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,6.43,5.72,1.57,61.1,68.6,-0.03,0.0,-0.0
350,351.0,황기선,1958-06-02,OB Bears,1987,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,3.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.07,1.8,0.0,5094.7,-0.03,0.0,-0.0
351,352.0,이상훈,1963-10-22,Chungbo Pintos,1987,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,7.0,30.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,10.5,3.3,2.17,34.2,108.8,-0.03,0.0,-0.0
352,353.0,오문현,1953-02-13,Samsung Lions,1983,13.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,37.2,24.0,22.0,154.0,35.0,0.0,0.0,6.0,14.0,0.0,6.0,12.0,1.0,0.0,5.26,5.08,1.3,63.8,65.9,-0.03,0.0,-0.01
353,354.0,박영진,1958-07-27,Samsung Lions,1984,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,18.0,2.14,4.0,18.5,155.6,-0.03,0.0,-0.01
354,355.0,인호봉,1958-03-04,Samsung Lions,1985,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,6.0,4.0,27.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.75,4.84,2.06,54.0,75.2,-0.04,0.0,-0.01
355,356.0,김강익,1961-12-05,OB Bears,1988,6.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,15.1,9.0,9.0,63.0,15.0,0.0,0.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,5.28,6.56,1.3,71.2,57.4,-0.05,0.0,-0.01
356,357.0,김현홍,1956-02-13,OB Bears,1983,13.0,1.0,1.0,4.0,2.0,1.0,1.0,0.0,43.1,27.0,20.0,186.0,49.0,0.0,0.0,7.0,17.0,0.0,1.0,12.0,0.0,1.0,4.15,4.85,1.52,78.8,67.5,-0.05,0.0,-0.01
357,358.0,조용철,1965-08-22,Lotte Giants,1985,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,9.0,8.0,36.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,9.82,2.9,2.32,34.7,117.7,-0.05,0.0,-0.01
358,359.0,구명근,1965-02-21,Lotte Giants,1988,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,29.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,9.0,5.98,2.8,42.6,64.1,-0.05,0.0,-0.02
359,360.0,권기홍,1961-07-12,Samsung Lions,1984,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,7.0,37.0,9.0,0.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,7.88,5.27,1.63,42.3,63.3,-0.05,0.0,-0.02
360,361.0,안창완,1961-12-05,Lotte Giants,1985,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,8.2,7.0,3.0,39.0,9.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,3.12,3.83,1.39,109.5,89.0,-0.06,0.0,
361,362.0,이광권,1954-06-28,MBC Blue Dragons,1985,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.1,5.0,5.0,41.0,10.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,4.82,5.75,1.39,69.3,58.1,-0.06,0.0,-0.02
362,363.0,임재준,1962-02-07,Binggre Eagles,1986,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,27.1,17.0,16.0,114.0,24.0,0.0,0.0,6.0,11.0,0.0,0.0,15.0,0.0,1.0,5.27,5.04,1.28,59.6,62.3,-0.07,0.0,-0.02
363,364.0,최창호,1966-11-08,Pacific Dolphins,1988,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.2,6.0,6.0,29.0,6.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,8.1,5.43,1.5,47.3,70.6,-0.07,0.0,-0.02
364,365.0,정선두,1959-06-06,Chungbo Pintos,1986,12.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,25.2,18.0,10.0,115.0,31.0,0.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,1.0,3.51,4.41,1.56,89.8,71.4,-0.08,0.0,-0.02
365,366.0,최상주,1962-08-07,Haitai Tigers,1987,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,7.0,7.0,29.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.81,4.16,2.63,29.5,83.9,-0.08,0.0,-0.02
366,367.0,안성수,1965-05-20,Binggre Eagles,1988,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,13.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,13.5,5.58,3.5,29.1,70.4,-0.08,0.0,
367,368.0,김문희,1955-03-23,Lotte Giants,1985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,10.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,13.5,9.22,2.0,25.3,37.0,-0.08,0.0,-0.02
368,369.0,김덕열,1955-04-23,Samsung Lions,1984,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,11.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,4.14,2.5,18.6,81.0,-0.08,0.0,-0.02
369,370.0,김정수,1953-04-02,Chungbo Pintos,1986,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.0,5.0,35.0,10.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,6.14,5.35,2.05,51.3,58.9,-0.08,0.0,
370,371.0,김기철,1962-05-24,Haitai Tigers,1985,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,7.0,6.0,37.0,12.0,0.0,0.0,2.0,5.0,0.0,0.0,5.0,0.0,1.0,7.36,6.44,2.32,47.4,54.2,-0.09,0.0,-0.03
371,372.0,천성호,1963-01-07,Chungbo Pintos,1986,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,6.1,5.0,5.0,30.0,7.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,7.11,4.92,1.58,44.3,64.1,-0.09,0.0,-0.03
372,373.0,정윤수,1964-12-17,Samsung Lions,1988,8.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,21.2,17.0,17.0,100.0,27.0,0.0,0.0,3.0,10.0,1.0,2.0,10.0,0.0,1.0,7.06,4.98,1.71,54.6,77.5,-0.09,0.0,-0.03
373,374.0,신계석,1960-09-05,MBC Blue Dragons,1983,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,13.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,3.56,3.0,34.4,86.9,-0.09,0.0,
374,375.0,김성한,1958-05-18,Haitai Tigers,1986,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,3.0,15.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,5.08,1.67,33.9,60.1,-0.09,0.0,
375,376.0,김재열,1961-04-25,Binggre Eagles,1988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,7.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,5.58,5.0,10.9,70.4,-0.1,0.0,-0.03
376,377.0,신태순,1962-02-13,Haitai Tigers,1986,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,4.0,3.0,10.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.25,4.33,3.75,15.1,70.6,-0.1,0.0,-0.04
377,378.0,김준희,1960-05-16,Samsung Lions,1985,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.0,12.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,18.0,9.22,3.0,19.7,38.5,-0.1,0.0,-0.04
378,379.0,차준섭,1956-10-16,MBC Blue Dragons,1983,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.0,3.0,15.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,8.1,8.36,1.2,38.2,37.0,-0.11,0.0,-0.04
379,380.0,박덕용,1956-11-07,Lotte Giants,1984,6.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,19.0,11.0,11.0,82.0,20.0,0.0,0.0,4.0,7.0,0.0,0.0,4.0,0.0,0.0,5.21,5.56,1.42,62.4,58.5,-0.12,0.0,-0.04
380,381.0,강상진,1962-04-17,Haitai Tigers,1987,13.0,1.0,0.0,3.0,0.0,4.0,0.0,0.0,45.0,34.0,32.0,207.0,49.0,0.0,0.0,2.0,32.0,1.0,3.0,13.0,0.0,4.0,6.4,4.73,1.8,54.5,73.7,-0.12,0.0,-0.04
381,382.0,이문한,1961-07-03,Lotte Giants,1984,16.0,0.0,0.0,6.0,1.0,4.0,0.0,0.0,50.0,32.0,31.0,214.0,52.0,0.0,0.0,8.0,17.0,1.0,2.0,17.0,0.0,1.0,5.58,4.62,1.38,58.3,70.4,-0.13,0.0,-0.04
382,383.0,전용권,1961-04-12,Samsung Lions,1987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.0,3.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,41.47,9.0,4.4,8.6,-0.13,0.0,-0.04
383,384.0,정순명,1954-06-30,MBC Blue Dragons,1985,7.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,18.0,15.0,12.0,86.0,26.0,0.0,0.0,1.0,7.0,0.0,0.0,5.0,1.0,0.0,6.0,3.55,1.83,55.7,94.1,-0.14,0.0,-0.05
384,385.0,신태중,1955-06-27,Haitai Tigers,1983,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2,3.0,3.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,40.5,6.56,9.0,8.0,49.6,-0.14,0.0,
385,386.0,강상진,1962-04-17,Haitai Tigers,1988,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,9.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,27.0,17.58,7.0,14.2,21.8,-0.14,0.0,-0.05
386,387.0,황태환,1952-08-06,OB Bears,1988,23.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,49.2,38.0,36.0,221.0,58.0,0.0,0.0,7.0,21.0,0.0,1.0,11.0,0.0,0.0,6.52,5.3,1.59,57.7,71.0,-0.15,0.0,-0.05
387,388.0,박노준,1962-10-26,OB Bears,1987,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,16.0,11.0,11.0,75.0,16.0,0.0,0.0,3.0,14.0,0.0,1.0,8.0,0.0,2.0,6.19,6.72,1.88,55.6,51.2,-0.15,0.0,-0.05
388,389.0,권기홍,1961-07-12,Samsung Lions,1988,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,4.0,4.0,12.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15.43,13.72,2.14,25.0,28.1,-0.15,0.0,-0.05
389,390.0,인호봉,1958-03-04,Samsung Lions,1984,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.2,12.0,11.0,81.0,14.0,0.0,0.0,2.0,13.0,0.0,5.0,4.0,0.0,0.0,5.6,6.22,1.53,59.9,54.0,-0.15,0.0,-0.05
390,391.0,손문곤,1965-01-29,Binggre Eagles,1987,19.0,1.0,0.0,5.0,1.0,4.0,1.0,0.0,49.1,39.0,38.0,223.0,54.0,0.0,0.0,6.0,26.0,0.0,0.0,22.0,1.0,0.0,6.93,4.74,1.62,52.8,77.3,-0.15,0.0,-0.06
391,392.0,이충우,1958-08-13,Pacific Dolphins,1988,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,17.0,7.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,8.25,2.67,21.3,46.5,-0.16,0.0,-0.06
392,393.0,박노준,1962-10-26,OB Bears,1988,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,6.0,6.0,17.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,18.0,3.91,2.0,20.9,96.2,-0.16,0.0,
393,394.0,오문현,1953-02-13,Binggre Eagles,1987,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,4.0,14.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,18.0,9.97,4.0,20.3,36.7,-0.16,0.0,-0.06
394,395.0,김상기,1961-03-03,Chungbo Pintos,1986,5.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,6.1,7.0,5.0,29.0,8.0,0.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,0.0,7.11,5.87,2.05,44.3,53.7,-0.17,0.0,-0.07
395,396.0,송진호,1957-08-16,Samsung Lions,1983,10.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,24.1,23.0,20.0,117.0,31.0,0.0,0.0,1.0,15.0,0.0,3.0,7.0,0.0,2.0,7.4,4.24,1.89,45.2,79.0,-0.17,0.0,-0.08
396,397.0,임호균,1956-03-26,Pacific Dolphins,1988,5.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,14.0,13.0,11.0,68.0,23.0,0.0,0.0,1.0,10.0,0.0,0.0,4.0,0.0,1.0,7.07,5.08,2.36,54.2,75.4,-0.17,0.0,-0.08
397,398.0,박형열,1967-11-13,OB Bears,1987,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,7.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,27.0,32.47,5.0,12.7,10.6,-0.17,0.0,-0.08
398,399.0,강철원,1958-01-27,OB Bears,1984,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.2,4.0,3.0,18.0,4.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,7.36,8.14,1.91,45.6,41.3,-0.17,0.0,-0.08
